study_id,author,year,obs,grp,signaller_class,signaller_species,dominant_pred_class_family,pred_type,modality,continuous_or_discrete_manipulation,yi,vi
s070,Franco et al.,2011,obs244,grp198,insecta,Planococcus ficus,hymenoptera,Parasitoid,Olfactory,Discrete,0.76,0.2
s070,Franco et al.,2011,obs245,grp199,insecta,Planococcus ficus,hymenoptera,Parasitoid,Olfactory,Discrete,1.63,0.18
s070,Franco et al.,2011,obs246,grp200,insecta,Planococcus ficus,hymenoptera,Parasitoid,Olfactory,Discrete,4.62,1.4
s070,Franco et al.,2011,obs247,grp201,insecta,Planococcus ficus,hymenoptera,Parasitoid,Olfactory,Discrete,3.76,0.54
s070,Franco et al.,2011,obs249,grp203,insecta,Planococcus ficus,hymenoptera,Parasitoid,Olfactory,Discrete,4.38,0.66
s003,Amdekar & Thaker,2019,obs004,grp004,reptilia,Psammophilus dorsalis,aves,Predator,Visual,Discrete,1.85,0.01
s003,Amdekar & Thaker,2019,obs005,grp004,reptilia,Psammophilus dorsalis,aves,Predator,Visual,Discrete,0.12,0.01
s008,Bernal et. al.,2006,obs016,grp015,amphibia,Physalaemus pustulosus,diptera,Parasite,Auditory,Discrete,7.09,1.44
s008,Bernal et. al.,2006,obs017,grp016,amphibia,Physalaemus pustulosus,diptera,Parasite,Auditory,Continuous,1.91,0.27
s008,Bernal et. al.,2006,obs018,grp017,amphibia,Physalaemus pustulosus,diptera,Parasite,Auditory,Continuous,5.12,0.84
s021,Arakaki et al.,2011,obs055,grp055,insecta,Orgyia postica,hymenoptera,Parasitoid,Olfactory,Discrete,1.97,0.34
s021,Arakaki et al.,2011,obs056,grp056,insecta,Orgyia postica,hymenoptera,Parasitoid,Olfactory,Discrete,2.91,0.49
s021,Arakaki et al.,2011,obs057,grp057,insecta,Orgyia postica,hymenoptera,Parasitoid,Olfactory,Discrete,2.81,0.47
s036,Gabrys et. al.,1997,obs084,grp084,insecta,Brevicoryne brassicae,hymenoptera,Parasitoid,Olfactory,Discrete,0.34,0.39
s037,Hardie et al.,1991,obs085,grp085,insecta,Aphididae spp.,hymenoptera,Parasitoid,Olfactory,Discrete,1.04,0.45
s076,Glinwood et al.,1998,obs260,grp212,insecta,Sitobiom avenae,hymenoptera,Parasitoid,Olfactory,Discrete,0.34,0.17
s043,Hardie et al.,1994,obs097,grp096,insecta,Aphididae spp.,hymenoptera,Parasitoid,Olfactory,Discrete,0.02,0.22
s043,Hardie et al.,1994,obs098,grp097,insecta,Aphididae spp.,hymenoptera,Parasitoid,Olfactory,Discrete,0.32,0.16
s043,Hardie et al.,1994,obs108,grp099,insecta,Aphididae spp.,hymenoptera,Parasitoid,Olfactory,Discrete,1.94,0.23
s043,Hardie et al.,1994,obs109,grp100,insecta,Aphididae spp.,hymenoptera,Parasitoid,Olfactory,Discrete,0.35,0.16
s043,Hardie et al.,1994,obs110,grp100,insecta,Aphididae spp.,hymenoptera,Parasitoid,Olfactory,Discrete,0.16,0.16
s048,Meuche et al.,2016,obs123,grp113,reptilia,Anura sp.,diptera,Parasite,Auditory,Discrete,0.61,0.18
s052,Woods et al.,2007,obs144,grp125,insecta,Photinus sp.,coleoptera,Predator,Visual,Discrete,3.87,0.18
s062,Mendel et. al.,2004,obs178,grp158,insecta,Matsucoccus  josephi,anthocoridae,Predator,Olfactory,Discrete,-0.06,0.28
s062,Mendel et. al.,2004,obs185,grp161,insecta,Matsucoccus  josephi,anthocoridae,Predator,Olfactory,Discrete,7.42,2.58
s062,Mendel et. al.,2004,obs188,grp162,insecta,Matsucoccus  josephi,anthocoridae,Predator,Olfactory,Discrete,0.31,0.29
s062,Mendel et. al.,2004,obs189,grp162,insecta,Matsucoccus  feytaudi,anthocoridae,Predator,Olfactory,Discrete,1.94,0.44
s062,Mendel et. al.,2004,obs190,grp162,insecta,Matsucoccus  matsumurae,anthocoridae,Predator,Olfactory,Discrete,1.44,0.37
s072,Scensson et al.,2003,obs252,grp206,insecta,Osmoderma eremita,coleoptera,Predator,Olfactory,Discrete,2.05,0.15
s074,Legett et al.,2021,obs254,grp208,amphibia,Buergeria japonica,diptera,Parasite,Auditory,Continuous,0.66,0.07
s074,Legett et al.,2021,obs255,grp208,amphibia,Buergeria japonica,diptera,Parasite,Auditory,Continuous,0.36,0.07
s074,Legett et al.,2021,obs256,grp208,amphibia,Buergeria japonica,diptera,Parasite,Auditory,Continuous,0.08,0.07
s077,Koczor et al.,2010,obs261,grp213,insecta,Aphididae spp.,neuroptera,Predator,Olfactory,Discrete,-0.13,0.33
s077,Koczor et al.,2010,obs264,grp216,insecta,Aphididae spp.,neuroptera,Predator,Olfactory,Discrete,0.66,0.35
s078,Powell et al.,1993,obs267,grp219,insecta,Aphididae spp.,hymenoptera,Parasitoid,Olfactory,Discrete,4.02,1.39
s080,Toma et al.,2005,obs269,grp221,amphibia,Anura sp.,diptera,Predator,Auditory,Discrete,1.14,0.39
s080,Toma et al.,2005,obs270,grp222,amphibia,Anura sp.,diptera,Predator,Auditory,Discrete,2.79,0.71
s081,Toma et al.,2019,obs271,grp223,amphibia,Fejervarya sakishimensis,diptera,Predator,Auditory,Discrete,2.71,0.21
s081,Toma et al.,2019,obs272,grp223,amphibia,Microhyla okinavensis,diptera,Predator,Auditory,Discrete,3.88,0.73
s081,Toma et al.,2019,obs273,grp223,amphibia,Rana okinavana,diptera,Predator,Auditory,Discrete,3.12,0.72
s081,Toma et al.,2019,obs274,grp223,amphibia,Rana owstoni,diptera,Predator,Auditory,Discrete,2.44,0.41
s081,Toma et al.,2019,obs275,grp223,amphibia,Odorrana supranarina,diptera,Predator,Auditory,Discrete,2.24,0.47
s081,Toma et al.,2019,obs276,grp223,amphibia,Kurixalus eiffingeri,diptera,Predator,Auditory,Discrete,1.73,0.4
s081,Toma et al.,2019,obs277,grp223,amphibia,Hyla hallowellii,diptera,Predator,Auditory,Discrete,0.85,0.28
s081,Toma et al.,2019,obs278,grp223,amphibia,Buergeria japonica,diptera,Predator,Auditory,Discrete,0.72,0.2
s085,Caldart et al.,2016,obs293,grp229,amphibia,Crossodactylus schmidti,diptera,Predator,Auditory,Discrete,0.83,0.31
s085,Caldart et al.,2016,obs294,grp230,amphibia,Physalaemus gracilis,diptera,Predator,Auditory,Discrete,0.35,0.23
s085,Caldart et al.,2016,obs295,grp231,amphibia,Scinax perereca,diptera,Predator,Auditory,Discrete,0.72,0.2
