study_id,author,year,obs,grp,signaller_class,signaller_species,dominant_pred_taxa,pred_type,modality,continuous_or_discrete_manipulation,n_choice,yi,vi
s054,Benelli et al.,2014,obs148,grp129,insecta,Bactrocera oleae,hymenoptera,Parasitoid,Olfactory,Discrete,25,2.442347035,0.543478261
s054,Benelli et al.,2014,obs149,grp130,insecta,Bactrocera oleae,hymenoptera,Parasitoid,Olfactory,Discrete,25,1.992430165,0.378787879
s058,Muller & Robert,2002,obs170,grp150,insecta,Gryllus integer,diptera,Parasitoid,Auditory,Continuous,44,-0.182321557,0.091666667
s058,Muller & Robert,2002,obs171,grp151,insecta,Gryllus integer,diptera,Parasitoid,Auditory,Continuous,44,-0.182321557,0.091666667
s058,Muller & Robert,2002,obs172,grp152,insecta,Gryllus integer,diptera,Parasitoid,Auditory,Continuous,46,-0.087011377,0.087121212
s059,Holt & Johnson,2009,obs173,grp153,actinopterygii,Cyprinella trichroistia,actinopterygii,Predator,Auditory,Discrete,4,-1.098612289,1.333333333
s064,Ylonen et al.,2003,obs220,grp174,insecta,Clethrionomys glareolus,mammalia,Predator,Olfactory,Discrete,12,1.609437912,0.6
s069,Ahmadi & Poorjavad,2018,obs232,grp186,insecta,Tuta absoluta,hymenoptera,Parasitoid,Olfactory,Discrete,17,0.356674944,0.242857143
s069,Ahmadi & Poorjavad,2018,obs233,grp187,insecta,Tuta absoluta,hymenoptera,Parasitoid,Olfactory,Discrete,17,-0.875468737,0.283333333
s069,Ahmadi & Poorjavad,2018,obs234,grp188,insecta,Tuta absoluta,hymenoptera,Parasitoid,Olfactory,Discrete,17,0.356674944,0.242857143
s069,Ahmadi & Poorjavad,2018,obs235,grp189,insecta,Tuta absoluta,hymenoptera,Parasitoid,Olfactory,Discrete,17,1.178654996,0.326923077
s069,Ahmadi & Poorjavad,2018,obs236,grp190,insecta,Tuta absoluta,hymenoptera,Parasitoid,Olfactory,Discrete,17,-0.117783036,0.236111111
s069,Ahmadi & Poorjavad,2018,obs237,grp191,insecta,Tuta absoluta,hymenoptera,Parasitoid,Olfactory,Discrete,17,1.178654996,0.326923077
s089,Tuttle & Ryan,1982,obs298,grp234,amphibia,Smilisca sila,mammalia,Predator,Auditory,Continuous,40,2.197224577,0.277777778
s090,Ryan et al.,1982,obs299,grp235,amphibia,Physalaetnus pustulosus.,mammalia,Predator,Auditory,Continuous,5,2.397895273,2.181818182
s096,Boo et al.,1998,obs305,grp241,insecta,Chrysopa cognata,neuroptera,Predator,Olfactory,Discrete,30,1.386294361,0.208333333
s096,Boo et al.,1998,obs306,grp242,insecta,Chrysopa cognata,neuroptera,Predator,Olfactory,Discrete,30,1.011600912,0.170454545
s096,Boo et al.,1998,obs307,grp243,insecta,Chrysopa cognata,neuroptera,Predator,Olfactory,Discrete,27,0.864997437,0.177631579
s096,Boo et al.,1998,obs308,grp244,insecta,Chrysopa cognata,neuroptera,Predator,Olfactory,Discrete,29,0.798507696,0.161111111
